name,location,date,time,more_info,tags
The Impossible Murder at Captain Jack's Flapjack Shack,"Black Fedora Comedy Mystery Theatre, Charleston, SC",2026-06-22,8:00 PM,https://www.charlestoncvb.com/events/the-impossible-murder-at-captain-jack-s-flapjack-shack~23958,"Theater, Comedy, Family, Performing Arts, Special Audience"
Summer Tennis Camp: Level - Beginner 101,"Open Door Ministries Sport & Wellness Center, Moncks Corner, SC",2026-06-22,9:00 AM,https://www.opendoorministriestennis.com/summer-camps,"Sports, Tennis, Sports & Outdoors"
Fairies and Flowers Art Camp,"Magnolia Plantation, Charleston, SC",2026-06-22,9:00 AM,,"Visual Arts, Destinations, Summer Camps, Special Audience, Kids"
Summer Culinary Camp,"Young Chefs Academy of Charleston, Mount Pleasant, SC",2026-06-22,9:00 AM,https://charlestonsc.youngchefsacademy.com/culinary-camps/,"Destinations, Summer Camps, Pursuits & Hobbies, Culinary Arts, Cooking Classes"
Snowball Mountain Challenge VBS,"Hibben United Methodist Church, Mount Pleasant, SC",2026-06-22,9:00 AM,http://hibbenumc.org,"Destinations, Summer Camps"
CAMP in the STACKS 2026: Detectives in the Stacks,"Charleston Library Society, Charleston, SC",2026-06-22,9:00 AM,https://charlestonlibrarysociety.org/event/camp-in-the-stacks-2026-detectives-in-the-stacks/,"Summer Camps, Kids, Destinations, Special Audience"
Fairytale Ballerinas Summer Camp,"Musical Theatre Center, Mount Pleasant, SC",2026-06-22,9:00 AM,https://www.onceuponaballetchs.com/2026-summer-camps/,"Destinations, Summer Camps, Special Audience, Kids, Toddlers"
National Outdoor Sculpture Competition and Exhibition,"North Charleston Riverfront Park, North Charleston, SC",2026-06-22,9:00 AM,https://www.northcharlestonartsfest.com/national-outdoor-sculpture-competition-exhibition,"Visual Arts, Mixed Media Art"
Summer Camp 2026,"Gibbes Museum, Charleston, SC",2026-06-22,9:00 AM,http://www.gibbesmuseum.org/programs-events/summer-camp-2026/1032,"Pursuits & Hobbies, Crafts, Needlecrafts, Sewing, Weaving, Quilting, Knitting, Embroidery, Fashion & Beauty, Visual Arts, Drawing & Painting, Drawing, Painting, Watercolor, Sculpture & Ceramics, Sculpture, Fiber Art, Special Audience, Kids, Teens, Learning, Lessons & Classes"
Jurassic Seas at the South Carolina Aquarium,"South Carolina Aquarium, Charleston, SC",2026-06-22,9:00 AM,https://eventvesta.com/events/147446/t/tickets,"Destinations, Museums & Exhibits"
Love Island Watch Party,"Zachary's Daiquiris, Charleston, SC",2026-06-22,9:00 PM,https://www.instagram.com/zachsdaiqs/,"Food & Drink, Drinks, Nightlife, Bars"
Camp Conroy Week Two: Summer Camp for 12-14  Year Olds Starts Soon,"Beaufort, SC",2026-06-22,9:15 AM,https://patconroyliterarycenter.org/calendar/2026-camp-conroy-summer-camp-save-the-dates/,"Literary Arts, Storytelling, Writing, Poetry, Special Audience, Kids, Learning, Lessons & Classes, Lifestyle"
Camp Conroy Week Two: Summer Camp for 12-14 Year Olds Starts Soon,"Pat Conroy Literary Center, Beaufort, SC",2026-06-22,9:15 AM,https://patconroyliterarycenter.org/calendar/2026-camp-conroy-summer-camp-save-the-dates/,"Literary Arts, Storytelling, Writing, Poetry, Special Audience, Family, Kids, Learning, Lessons & Classes, Lifestyle"
Charleston Career Fair,"Hilton, Charleston, SC",2026-06-22,9:30 AM,https://www.eventbrite.com/e/charleston-career-fair-tickets-929343951777,"Professional, Jobs & Career"
Market Street Cowboy Band,"Henry's On The Market, Charleston, SC",2026-06-22,9:30 PM,https://henrysonthemarket.com/charleston-henry-s-on-the-market-music-calendar,"Performing Arts, Music, Concerts, Country, Pursuits & Hobbies, Markets & Shopping"
⚽ FIFA World Cup 2026 Watch Party At Republic Garden & Lounge,"Republic Garden & Lounge, Charleston, SC",2026-06-23,,,"Food & Drink, Sports & Outdoors, Sports, Soccer"
⚽ FIFA World Cup Watch Parties at Lamar's!,"Lamar's, Charleston, SC",2026-06-23,,https://lamarssportingclub.com/,"Food & Drink, Sports & Outdoors, Sports, Soccer"
Summer Movie Express at Regal Cinema,"Mt. Pleasant Towne Centre, Mount Pleasant, SC",2026-06-23,,https://www.mtpleasanttownecentre.com/events/summer-movie-express-at-regal-cinema/,"Visual Arts, Film, Special Audience, Family, Performing Arts, Music, Food & Drink, Food"
Upcoming Events,"Search, North Charleston, SC",2026-06-23,,https://fireflydistillery.com/events/,
Carolina Days at the Fireproof Building,"South Carolina Historical Society Museum, Charleston, SC",2026-06-23,,https://www.charlestoncvb.com/events/carolina-days-at-the-fireproof-building~27542,"Destinations, Museums & Exhibits, Parties & Reunions, Special Audience, Family, Holidays, Independence Day (USA), Pursuits & Hobbies, Other Interests, History"
Exhibition: Voices of Revolution in South Carolina,"South Carolina Historical Society, Charleston, SC",2026-06-23,,https://www.charlestoncvb.com/events/exhibition-voices-of-revolution-in-south-carolina~27544,"Destinations, Museums & Exhibits, Visual Arts, Pursuits & Hobbies, Other Interests, History"
Declaring Independence in Charleston: Text and Context Lecture,"The Charleston Museum, Charleston, SC",2026-06-23,,https://www.charlestoncvb.com/events/declaring-independence-in-charleston-text-and-context-lecture~26774,"Learning, Talks & Lectures, Destinations, Museums & Exhibits, Parties & Reunions, Pursuits & Hobbies, Other Interests, History"
LIVE MUSIC by DOUBLE DECKS,"The Commodore, Charleston, SC",2026-06-23,,https://tockify.com/thecommodorechs/detail/294/1782187200000,"Performing Arts, Music, Live Music"
LIVE MUSIC by OLEG & FRIENDS,"The Commodore, Charleston, SC",2026-06-23,,https://tockify.com/thecommodorechs/detail/294/1782187200000,"Performing Arts, Music, Live Music"
